5.8T    dalpian
4.3T    fsuxo
4.2T    yurimenzl
37T     
2.9T    gollino
2.7T    hiroki
2.6T    reilya
2.2T    mcosta
2.1T    tunupa
1.2T    a.c.padilha
1.1T    james
830G    gloria
822G    camjr
382G    emartins
329G    bfzornio
291G    gabidias
274G    msalvador
264G    camilofs
127G    apezol
97G     padilha
86G     jtsantos
7.1G    gnascimento
48G     schleder
4.8G    finamor
4.8G    errors
33G     marim
31G     wsantos
2.9G    elizane
21G     colombari
2.0G    deivid
19G     pontes
12G     obabilonia
1.2G    cmera
856M    qralvim
289M    vhpc
250M    atriera
5.6M    caso4-brine
18M     matusa
4.0K    rjacub
4.0K    pamaral
4.0K    otavioavl
4.0K    b.focassio
28K     dpvalverde
0       winckler
0       vagnerrigo
0       tlanna2
0       tlanna
0       teresa
0       tarcisoafilho
0       sabino
0       r.silva
0       romana
0       rgamorim
0       rafaelfreire
0       pbragt07
0       mplima
0       marco
0       luizsantos
0       lpedroza
0       felipelima
0       fdlima
0       cperez
0       cmiranda
0       beatriz
