
1.2T    a.c.padilha
127G    apezol
1.2G    cmera
0       cmiranda
0       cperez
5.8T    dalpian
0       fdlima
4.3T    fsuxo
830G    gloria
2.9T    gollino
2.7T    hiroki
1.1T    james
0       lpedroza
0       marco
2.2T    mcosta
0       mplima
274G    msalvador
12G     obabilonia
97G     padilha
19G     pontes
856M    qralvim
2.6T    reilya
0       rgamorim
0       r.silva
48G     schleder
0       tarcisoafilho
2.1T    tunupa
0       vagnerrigo
0       winckler
4.2T    yurimenzl
4.4T    kirch
382G    emartins
18M     matusa
329G    bfzornio
4.0K    b.focassio
291G    gabidias
0       luizsantos
0       pbragt07
0       beatriz
250M    atriera
0       romana
264G    camilofs
21G     colombari
0       teresa
0       tlanna
0       tlanna2
4.8G    errors
289M    vhpc
0       sabino
7.1G    gnascimento
5.6M    caso4-brine
33G     marim
2.9G    elizane
0       felipelima
0       rafaelfreire
2.0G    deivid
4.0K    pamaral
4.8G    finamor
821G    camjr
4.0K    rjacub
4.0K    otavioavl
86G     jtsantos
28K     dpvalverde
31G     wsantos
37T     
